Price,Adj Close,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,,
01-12-2018,37.6656189,39.43500137,46.23500061,36.64749908,46.11500168,3595690000
01-01-2019,39.74302673,41.61000061,42.25,35.5,38.72249985,3312349600
01-02-2019,41.34526443,43.28749847,43.96749878,41.48249817,41.74000168,1890162400
01-03-2019,45.5513382,47.48749924,49.42250061,42.375,43.56999969,2603925600
01-04-2019,48.12207413,50.16749954,52.11999893,47.09500122,47.90999985,2024470800
01-05-2019,41.98300934,43.76750183,53.82749939,43.74750137,52.47000122,2957826400
01-06-2019,47.64537048,49.47999954,50.39250183,42.56750107,43.90000153,2060874800
01-07-2019,51.28522873,53.25999832,55.34249878,49.60250092,50.79249954,1895406800
01-08-2019,50.25007629,52.18500137,54.50749969,48.14500046,53.47499847,2724326400
01-09-2019,54.1212616,55.99250031,56.60499954,51.05500031,51.60749817,2170268400
01-10-2019,60.11164474,62.18999863,62.4375,53.78250122,56.26750183,2433210800
01-11-2019,64.57967377,66.8125,67,62.29000092,62.38499832,1793326000
01-12-2019,71.17212677,73.41249847,73.49250031,64.07250214,66.81749725,2388794800
01-01-2020,75.01613617,77.37750244,81.96250153,73.1875,74.05999756,2934370400
01-02-2020,66.25441742,68.33999634,81.80500031,64.09249878,76.07499695,3019279200
01-03-2020,61.77869415,63.57249832,76,53.15250015,70.56999969,6280072400
01-04-2020,71.37748718,73.44999695,73.63249969,59.22499847,61.625,3265299200
01-05-2020,77.24219513,79.48500061,81.05999756,71.46250153,71.5625,2805936000
01-06-2020,88.86655426,91.19999695,93.09500122,79.30249786,79.4375,3243375600
01-07-2020,103.5412445,106.2600021,106.4150009,89.14499664,91.27999878,3020283200
01-08-2020,125.7383728,129.0399933,131,107.8925018,108.1999969,4070061100
01-09-2020,113.0503464,115.8099976,137.9799957,103.0999985,132.7599945,3885245100
01-10-2020,106.2659683,108.8600006,125.3899994,107.7200012,117.6399994,2894666500
01-11-2020,116.2131424,119.0500031,121.9899979,107.3199997,109.1100006,2123077300
01-12-2020,129.7515869,132.6900024,138.7899933,120.0100021,121.0100021,2322189600
01-01-2021,129.0377502,131.9600067,145.0899963,126.3799973,133.5200043,2240262000
01-02-2021,118.5746994,121.2600021,137.8800049,118.3899994,133.75,1833855600
01-03-2021,119.6234894,122.1500015,128.7200012,116.2099991,123.75,2650418200
01-04-2021,128.7409363,131.4600067,137.0700073,122.4899979,123.6600037,1889857500
01-05-2021,122.0326004,124.6100006,134.0700073,122.25,132.0399933,1711934900
01-06-2021,134.3549805,136.9600067,137.4100037,123.1299973,125.0800018,1606590000
01-07-2021,143.0856934,145.8600006,150,135.7599945,136.6000061,1919035100
01-08-2021,148.9421692,151.8300018,153.4900055,144.5,146.3600006,1461542800
01-09-2021,139.0165863,141.5,157.2599945,141.2700043,152.8300018,1797835100
01-10-2021,147.1709442,149.8000031,153.1699982,138.2700043,141.8999939,1565079200
01-11-2021,162.3988953,165.3000031,165.6999969,147.4799957,148.9900055,1691029000
01-12-2021,174.7081299,177.5700073,182.1300049,157.8000031,167.4799957,2444766700
01-01-2022,171.9631195,174.7799988,182.9400024,154.6999969,177.8300018,2108446000
01-02-2022,162.4588013,165.1199951,176.6499939,152,174.0099945,1627516300
01-03-2022,172.0147247,174.6100006,179.6100006,150.1000061,164.6999969,2180800100
01-04-2022,155.3068085,157.6499939,178.4900055,155.3800049,174.0299988,1687795600
01-05-2022,146.6277466,148.8399963,166.4799957,132.6100006,156.7100067,2401040300
01-06-2022,134.885788,136.7200012,151.7400055,129.0399933,149.8999939,1749099800
01-07-2022,160.3298035,162.5099945,163.6300049,135.6600037,136.0399933,1447125400
01-08-2022,155.1107788,157.2200012,176.1499939,157.1399994,161.0099945,1510239600
01-09-2022,136.5353241,138.1999969,164.2599945,138,156.6399994,2084722800
01-10-2022,151.4929504,153.3399963,157.5,134.3699951,138.2100067,1868139700
01-11-2022,146.2469177,148.0299988,155.4499969,134.3800049,155.0800018,1724847700
01-12-2022,128.5778961,129.9299927,150.9199982,125.8700027,148.2100067,1675731200
01-01-2023,142.7884674,144.2899933,147.2299957,124.1699982,130.2799988,1443652500
01-02-2023,145.8759918,147.4100037,157.3800049,141.3200073,143.9700012,1307198900
01-03-2023,163.4331055,164.8999939,165,143.8999939,146.8300018,1520266600
01-04-2023,168.170578,169.6799927,169.8500061,159.7799988,164.2700043,969709700
01-05-2023,175.6732635,177.25,179.3500061,164.3099976,169.2799988,1275155500
01-06-2023,192.5104523,193.9700012,194.4799957,176.9299927,177.6999969,1297101100
01-07-2023,194.9717712,196.4499969,198.2299957,186.6000061,193.7799988,996066400
01-08-2023,186.4563293,187.8699951,196.7299957,171.9600067,196.2400055,1322439400
01-09-2023,170.1511536,171.2100067,189.9799957,167.6199951,189.4900055,1337586600
01-10-2023,169.7138977,170.7700043,182.3399963,165.6699982,171.2200012,1172719600
01-11-2023,188.7752686,189.9499969,192.9299927,170.1199951,171,1099586100
01-12-2023,191.5913849,192.5299988,199.6199951,187.4499969,190.3300018,1062774800
